name,id,classification,mass,year,latitude,longitude
Artracoona,2341,L6,20810.0,1914.0,-29.06667,139.91667
Ashfork,2348,"Iron, IAB-MG",27000.0,1901.0,35.25,-112.5
Ashmore,2349,H5,55400.0,1969.0,32.9,-102.28333
Ashuwairif 001,51563,H4,14566.0,2008.0,29.35944,14.25528
Ashuwairif 002,51564,L5/6,11953.0,2008.0,29.37972,14.26972
Ashuwairif 004,53630,L6,15750.0,2008.0,29.36583,14.27611
Asuka 87034,2391,L4,19064.5,1987.0,-72.0,26.0
Asuka 87251,2608,LL6,46000.0,1987.0,-72.0,26.0
Asuka 881986,4695,L6,10147.0,1988.0,-72.0,26.0
Aswan,4882,"Iron, IAB-ung",12000.0,1955.0,23.98611,32.62361
Augusta County,4897,"Iron, IIIAB",76000.0,1858.0,38.16667,-79.08333
Augustinovka,4898,"Iron, IIIAB",400000.0,1890.0,48.06667,35.08333
Avoca (Western Australia),4909,"Iron, IIIAB",37850.0,1966.0,-30.85,122.31667
Babb's Mill (Blake's Iron),4915,"Iron, ungrouped",136000.0,1876.0,36.3,-82.88333
Bacubirito,4919,"Iron, ungrouped",22000000.0,1863.0,26.2,-107.83333
Bagnone,4921,"Iron, IIIAB",48000.0,1904.0,44.31667,9.98333
Ballinoo,4931,"Iron, IIC",42200.0,1892.0,-27.7,115.76667
Balsas,4932,"Iron, IIIAB",41000.0,1974.0,-7.53133,-46.04117
Baquedano,4939,"Iron, IIIAB",22000.0,1932.0,-23.3,-69.88333
Barranca Blanca,4950,"Iron, IIE-an",12000.0,1855.0,-28.08333,-69.33333
Barratta,4951,L4,200000.0,1845.0,-35.3,144.56667
Barrilla,4952,H5,11100.0,1994.0,30.78333,-103.46667
Barwise,4955,H5,10400.0,1950.0,34.0,-101.5
Bayard,4978,L5,75000.0,1982.0,41.81667,-103.36667
Baygorria,4980,"Iron, IAB complex",80000.0,1994.0,-33.0,-56.0
Bear Creek,4982,"Iron, IIIAB",227000.0,1866.0,39.6,-105.3
Bear Lodge,4983,"Iron, IIIAB",48500.0,1931.0,44.5,-104.2
Beaver,4985,L5,25628.0,1940.0,36.8,-100.53333
Bechar 001,4988,L6,39000.0,1998.0,30.83333,-3.33333
Bechar 002,4989,H6,12000.0,1998.0,30.83333,-3.33333
Beeler,4994,LL6,11620.0,1924.0,38.53333,-100.21667
Beenham,4995,L5,44400.0,1937.0,36.21667,-103.65
Bella Roca,5003,"Iron, IIIAB",33000.0,1888.0,24.9,-105.4
Belle Plaine,5004,L6,78800.0,1950.0,37.31667,-97.25
Bellsbank,5006,"Iron, IIG",38000.0,1955.0,-28.08333,24.08333
Belmont,5008,H6,25300.0,1958.0,42.73333,-90.35
Bencubbin,5014,CBa,118000.0,1930.0,-30.75,117.78333
Bendegó,5015,"Iron, IC",5360000.0,1784.0,-10.11667,-39.2
Bendock,5016,Pallasite,27000.0,1898.0,-37.15,148.91667
Benedict,5017,"Iron, IIIAB",16380.0,1970.0,41.0,-97.53333
Benjamin,5020,H4/5,51800.0,1969.0,33.58333,-99.8
Bennett County,5022,"Iron, IIAB",89000.0,1934.0,43.5,-101.25
Benthullen,5025,L6,17000.0,1951.0,53.05,8.1
Big Rock Donga,5044,H6,19000.0,1970.0,-30.55,130.96667
Bilibino,5046,"Iron, IIAB",1000000.0,1981.0,67.3,160.8
Billings,5047,"Iron, IIIAB",24500.0,1903.0,37.06667,-93.55
Bingera,5050,"Iron, IIAB",10841.0,1880.0,-29.88333,150.56667
Binya,5052,"Iron, IIIF",11300.0,1981.0,-34.225,146.38167
Bischtübe,5057,"Iron, IAB-sLL",48250.0,1888.0,51.95,62.2
Bison,5061,LL6,11000.0,1958.0,38.30667,-99.71
Bitburg,5062,"Iron, IAB complex",1500000.0,1805.0,49.96667,6.53333
Blanca Estela,45973,"Iron, IAB complex",15600.0,2002.0,-25.0,-69.5
Bledsoe,5074,H4,30500.0,1970.0,33.59167,-103.02667
Bluff (a),5087,L5,153300.0,1878.0,29.87861,-96.87222
Bluff (b),5088,L4,16000.0,1917.0,29.86306,-96.92667
Bocaiuva,5092,"Iron, ungrouped",64000.0,1965.0,-17.16667,-43.83333
Bodaibo,5094,"Iron, IVA",15900.0,1907.0,57.85,114.2
Bohumilitz,5099,"Iron, IAB-MG",59000.0,1829.0,49.05,13.76667
Bondoc,5103,Mesosiderite-B4,888600.0,1956.0,13.51667,122.45
Bonita Springs,5104,H5,41800.0,1938.0,26.26667,-81.75
Boolka,5108,H5,12000.0,1968.0,-30.06667,141.06667
